[{'measurement': 'enviro', 'fields': {'temperature': 32.89592237014224, 'pressure': 1009.8795241377468, 'humidity': 23.308612205449382, 'pm_1': 344, 'pm_2.5': 663, 'pm_10': 752}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.95916254569829, 'pressure': 1009.8739354800825, 'humidity': 23.293830364986604, 'pm_1': 344, 'pm_2.5': 663, 'pm_10': 752}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.73990872471425, 'pressure': 1009.8540185051523, 'humidity': 23.243030483154374, 'pm_1': 344, 'pm_2.5': 659, 'pm_10': 751}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.920640606097095, 'pressure': 1009.8596232351006, 'humidity': 22.90369135806203, 'pm_1': 342, 'pm_2.5': 656, 'pm_10': 747}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.1017322465603, 'pressure': 1009.8452869975797, 'humidity': 24.040541381744514, 'pm_1': 342, 'pm_2.5': 656, 'pm_10': 747}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.59930406444239, 'pressure': 1009.8512530215418, 'humidity': 23.363537628165922, 'pm_1': 343, 'pm_2.5': 661, 'pm_10': 764}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.76815808916274, 'pressure': 1009.8327921162127, 'humidity': 22.548815558760232, 'pm_1': 343, 'pm_2.5': 661, 'pm_10': 764}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.96558287055677, 'pressure': 1009.826601162348, 'humidity': 22.154080467195616, 'pm_1': 343, 'pm_2.5': 661, 'pm_10': 764}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.964298805548694, 'pressure': 1009.8245542081582, 'humidity': 21.68980283708521, 'pm_1': 346, 'pm_2.5': 673, 'pm_10': 780}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.99383230533649, 'pressure': 1009.8158069249089, 'humidity': 21.688423563490502, 'pm_1': 346, 'pm_2.5': 673, 'pm_10': 780}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.826903954785756, 'pressure': 1009.807859528723, 'humidity': 21.828848254113236, 'pm_1': 346, 'pm_2.5': 673, 'pm_10': 780}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.84584388679125, 'pressure': 1009.8101488972948, 'humidity': 21.966633120906355, 'pm_1': 344, 'pm_2.5': 673, 'pm_10': 779}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.77393636933905, 'pressure': 1009.8036371599239, 'humidity': 21.89158170861734, 'pm_1': 344, 'pm_2.5': 673, 'pm_10': 779}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.72161084562185, 'pressure': 1009.7707816066468, 'humidity': 21.893998058859328, 'pm_1': 344, 'pm_2.5': 673, 'pm_10': 779}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.86638890225497, 'pressure': 1009.7696449836984, 'humidity': 21.682313934242433, 'pm_1': 341, 'pm_2.5': 677, 'pm_10': 780}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.79897558769282, 'pressure': 1009.7737971850152, 'humidity': 21.70354561508484, 'pm_1': 341, 'pm_2.5': 677, 'pm_10': 780}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.42114093832943, 'pressure': 1009.7884984584608, 'humidity': 22.564314075428875, 'pm_1': 341, 'pm_2.5': 677, 'pm_10': 780}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.042947820856554, 'pressure': 1009.7789475365513, 'humidity': 21.324202236949944, 'pm_1': 340, 'pm_2.5': 675, 'pm_10': 779}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.002499747317984, 'pressure': 1009.7772843279776, 'humidity': 21.404538016143704, 'pm_1': 340, 'pm_2.5': 675, 'pm_10': 779}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.85740045741661, 'pressure': 1009.7814791734863, 'humidity': 21.525967065946162, 'pm_1': 340, 'pm_2.5': 675, 'pm_10': 779}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.95306323750394, 'pressure': 1009.8014099188063, 'humidity': 21.461384439866688, 'pm_1': 336, 'pm_2.5': 656, 'pm_10': 754}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.09591556349805, 'pressure': 1009.8127726700146, 'humidity': 21.170852479106582, 'pm_1': 333, 'pm_2.5': 641, 'pm_10': 739}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.18644232257511, 'pressure': 1009.8191980859656, 'humidity': 21.021682348273153, 'pm_1': 330, 'pm_2.5': 634, 'pm_10': 730}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.993511288982724, 'pressure': 1009.8187844264514, 'humidity': 21.320519623843936, 'pm_1': 325, 'pm_2.5': 629, 'pm_10': 730}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.18515825443838, 'pressure': 1009.797955214274, 'humidity': 21.166577480563177, 'pm_1': 329, 'pm_2.5': 636, 'pm_10': 739}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.80475386983365, 'pressure': 1009.8301002807179, 'humidity': 21.48623954741868, 'pm_1': 334, 'pm_2.5': 642, 'pm_10': 732}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.91935654172566, 'pressure': 1009.8471096553665, 'humidity': 21.215486525511192, 'pm_1': 332, 'pm_2.5': 638, 'pm_10': 727}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.97425030983707, 'pressure': 1009.854374606129, 'humidity': 21.152548107616273, 'pm_1': 333, 'pm_2.5': 639, 'pm_10': 729}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.96943506569014, 'pressure': 1009.8676329438025, 'humidity': 21.29753773259551, 'pm_1': 334, 'pm_2.5': 643, 'pm_10': 738}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.09848369726133, 'pressure': 1009.856998539572, 'humidity': 20.93541760093053, 'pm_1': 335, 'pm_2.5': 641, 'pm_10': 730}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.619849024026756, 'pressure': 1009.8508899502335, 'humidity': 22.17587046177484, 'pm_1': 339, 'pm_2.5': 650, 'pm_10': 739}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.68276799172129, 'pressure': 1009.837887430352, 'humidity': 22.23929327280483, 'pm_1': 342, 'pm_2.5': 662, 'pm_10': 754}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.35982722276915, 'pressure': 1009.8545353313166, 'humidity': 22.524898612030068, 'pm_1': 344, 'pm_2.5': 669, 'pm_10': 757}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.598341019576125, 'pressure': 1009.8566913102073, 'humidity': 21.935839050721924, 'pm_1': 344, 'pm_2.5': 669, 'pm_10': 757}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.81598941949524, 'pressure': 1009.8602232809142, 'humidity': 21.726867420812535, 'pm_1': 344, 'pm_2.5': 669, 'pm_10': 757}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.93797547689174, 'pressure': 1009.8715593578821, 'humidity': 21.47393081232426, 'pm_1': 349, 'pm_2.5': 680, 'pm_10': 764}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.74408192572628, 'pressure': 1009.8606729278024, 'humidity': 21.862823008193264, 'pm_1': 349, 'pm_2.5': 680, 'pm_10': 764}}]
[{'measurement': 'enviro', 'fields': {'temperature': 33.07697557924096, 'pressure': 1009.8733164285818, 'humidity': 21.44927289832493, 'pm_1': 349, 'pm_2.5': 680, 'pm_10': 764}}]
[{'measurement': 'enviro', 'fields': {'temperature': 32.996400436207566, 'pressure': 1009.8670053661485, 'humidity': 21.869234119701932, 'pm_1': 346, 'pm_2.5': 683, 'pm_10': 765}}]
